method,config,seed,composite,weighted_tardiness,setup_cost,makespan
NN-Greedy,medium_2m,26,61.63322448730469,0.0,123.26644897460938,189.94354248046875
NN-Greedy,medium_2m,27,54.71696472167969,0.0,109.43392944335938,183.22068786621094
NN-Greedy,medium_2m,28,60.89128112792969,10.121170043945312,111.66139221191406,208.60720825195312
NN-Greedy,medium_2m,29,66.1131362915039,0.0,132.2262725830078,158.6873321533203
SPT,medium_3m,0,139.897216796875,0.0,279.79443359375,147.8578338623047
SPT,medium_3m,1,120.10624694824219,0.0,240.21249389648438,128.29063415527344
SPT,medium_3m,2,94.84097290039062,0.0,189.68194580078125,127.96835327148438
SPT,medium_3m,3,83.9411849975586,0.0,167.8823699951172,108.53620910644531
SPT,medium_3m,4,129.92181396484375,0.0,259.8436279296875,157.28369140625
SPT,medium_3m,5,110.23847961425781,0.0,220.47695922851562,121.27496337890625
SPT,medium_3m,6,94.98921203613281,0.0,189.97842407226562,140.96978759765625
SPT,medium_3m,7,102.3121337890625,0.0,204.624267578125,139.8375701904297
SPT,medium_3m,8,123.04316711425781,0.0,246.08633422851562,129.94552612304688
SPT,medium_3m,9,109.02539825439453,0.0,218.05079650878906,156.156982421875
SPT,medium_3m,10,85.18529510498047,0.0,170.37059020996094,139.5449981689453
SPT,medium_3m,11,78.36417388916016,0.0,156.7283477783203,132.37086486816406
SPT,medium_3m,12,111.67792510986328,0.0,223.35585021972656,132.1918182373047
SPT,medium_3m,13,112.76239013671875,0.0,225.5247802734375,158.84092712402344
SPT,medium_3m,14,96.65933227539062,0.0,193.31866455078125,130.10479736328125
SPT,medium_3m,15,119.72283172607422,0.0,239.44566345214844,144.79449462890625
SPT,medium_3m,16,84.1897964477539,0.0,168.3795928955078,122.98237609863281
SPT,medium_3m,17,123.23078918457031,0.0,246.46157836914062,119.25101470947266
SPT,medium_3m,18,82.35205841064453,0.0,164.70411682128906,144.86085510253906
SPT,medium_3m,19,63.69457244873047,0.0,127.38914489746094,132.60482788085938
SPT,medium_3m,20,143.33522033691406,0.0,286.6704406738281,138.38331604003906
SPT,medium_3m,21,103.45479583740234,0.0,206.9095916748047,146.49082946777344
SPT,medium_3m,22,88.1769027709961,0.0,176.3538055419922,122.55078887939453
SPT,medium_3m,23,98.44236755371094,0.0,196.88473510742188,118.0733871459961
SPT,medium_3m,24,118.44064331054688,0.0,236.88128662109375,135.8367462158203
SPT,medium_3m,25,122.04357147216797,0.0,244.08714294433594,112.86460876464844
SPT,medium_3m,26,109.24687194824219,0.0,218.49374389648438,138.36598205566406
SPT,medium_3m,27,125.68791198730469,0.0,251.37582397460938,136.34152221679688
SPT,medium_3m,28,104.58675384521484,0.0,209.1735076904297,145.5094451904297
SPT,medium_3m,29,136.86019897460938,0.0,273.72039794921875,116.1978759765625
NN-Greedy,medium_3m,0,80.40830993652344,0.0,160.81661987304688,141.99366760253906
NN-Greedy,medium_3m,1,86.77645874023438,0.0,173.55291748046875,130.2900390625
NN-Greedy,medium_3m,2,77.66196060180664,3.7933273315429688,151.5305938720703,124.63224029541016
NN-Greedy,medium_3m,3,56.59834671020508,13.382232666015625,99.81446075439453,110.72521209716797
NN-Greedy,medium_3m,4,92.15795135498047,0.0,184.31590270996094,149.5875244140625
NN-Greedy,medium_3m,5,81.05278778076172,0.0,162.10557556152344,115.77485656738281
NN-Greedy,medium_3m,6,86.96695709228516,0.0,173.9339141845703,133.85292053222656
NN-Greedy,medium_3m,7,69.72479248046875,4.908111572265625,134.54147338867188,139.86798095703125
NN-Greedy,medium_3m,8,80.61276245117188,0.0,161.22552490234375,120.23966217041016
NN-Greedy,medium_3m,9,89.90278625488281,9.498016357421875,170.30755615234375,154.0953826904297
NN-Greedy,medium_3m,10,87.19822311401367,0.6348342895507812,173.76161193847656,134.71937561035156
NN-Greedy,medium_3m,11,83.02841186523438,27.747604370117188,138.30921936035156,129.185546875
NN-Greedy,medium_3m,12,68.78646469116211,10.763763427734375,126.80916595458984,130.26638793945312
NN-Greedy,medium_3m,13,75.64342498779297,21.662063598632812,129.62478637695312,144.02139282226562
NN-Greedy,medium_3m,14,76.85104370117188,0.0,153.70208740234375,128.55099487304688
NN-Greedy,medium_3m,15,92.40740966796875,10.431076049804688,174.3837432861328,133.8571014404297
NN-Greedy,medium_3m,16,80.06304550170898,8.591224670410156,151.5348663330078,122.03936767578125
NN-Greedy,medium_3m,17,79.8224868774414,0.0,159.6449737548828,113.14268493652344
NN-Greedy,medium_3m,18,64.60089874267578,0.0,129.20179748535156,140.25782775878906
NN-Greedy,medium_3m,19,65.98115539550781,0.0,131.96231079101562,133.86032104492188
NN-Greedy,medium_3m,20,85.65159606933594,0.0,171.30319213867188,118.50727844238281
NN-Greedy,medium_3m,21,73.86064147949219,0.0,147.72128295898438,145.03338623046875
NN-Greedy,medium_3m,22,77.67398834228516,6.2704925537109375,149.07748413085938,121.24210357666016
NN-Greedy,medium_3m,23,69.88259887695312,9.066558837890625,130.69863891601562,111.0396499633789
NN-Greedy,medium_3m,24,85.01022338867188,0.0,170.02044677734375,133.10415649414062
NN-Greedy,medium_3m,25,75.52349090576172,0.0,151.04698181152344,118.11835479736328
