method,config,seed,composite,weighted_tardiness,setup_cost,makespan
SPT,j10_m1,0,0.234040400730243,0.0,290.3092041015625,87.35049438476562
SPT,j10_m1,1,0.2526999107336289,0.0,271.9580993652344,86.9887924194336
SPT,j10_m1,2,0.3333333333333333,0.0,426.28277587890625,90.89048767089844
SPT,j10_m1,3,0.19431780624548844,0.0,240.84385681152344,87.04568481445312
SPT,j10_m1,4,0.3133776113479195,0.0,311.1265869140625,89.92072296142578
SPT,j10_m1,5,0.3333333333333333,0.0,374.915771484375,90.11180114746094
SPT,j10_m1,6,0.3333333333333333,0.0,367.14093017578125,90.23155975341797
SPT,j10_m1,7,0.2753659723051108,0.0,337.5214538574219,89.34309387207031
SPT,j10_m1,8,0.3333333333333333,0.0,360.7253723144531,90.77582550048828
SPT,j10_m1,9,0.32341800858984404,0.0,275.073974609375,88.99224853515625
SPT,j10_m1,10,0.3333333333333333,0.0,361.32232666015625,90.26457977294922
SPT,j10_m1,11,0.2974683576426355,0.0,321.9557189941406,88.96932983398438
SPT,j10_m1,12,0.22419777819262235,0.0,282.5776672363281,87.20568084716797
SPT,j10_m1,13,0.23066145659540313,0.0,269.2218322753906,88.7656021118164
SPT,j10_m1,14,0.3333333333333333,0.0,439.6163330078125,92.0916519165039
SPT,j10_m1,15,0.3069236391353162,0.0,376.6229553222656,89.36083984375
SPT,j10_m1,16,0.32638467358595097,0.0,411.29766845703125,90.3118896484375
SPT,j10_m1,17,0.21633324082785482,0.0,296.6783752441406,87.54116821289062
SPT,j10_m1,18,0.2797761379214584,0.0,325.527587890625,89.19391632080078
SPT,j10_m1,19,0.3333333333333333,0.0,398.1326599121094,91.42027282714844
SPT,j10_m1,20,0.29690517320936594,0.0,371.3226318359375,89.21710968017578
SPT,j10_m1,21,0.3333333333333333,0.0,459.925048828125,92.6022720336914
SPT,j10_m1,22,0.3333333333333333,0.0,462.84381103515625,91.60693359375
SPT,j10_m1,23,0.32909894478900403,0.0,407.38055419921875,91.68047332763672
SPT,j10_m1,24,0.3333333333333333,0.0,427.9789123535156,91.26748657226562
SPT,j10_m1,25,0.3284626056162971,0.0,378.2020263671875,90.4852523803711
SPT,j10_m1,26,0.32455022621064655,0.0,322.3863830566406,88.24021911621094
SPT,j10_m1,27,0.3333333333333333,0.0,420.68231201171875,90.30301666259766
SPT,j10_m1,28,0.17387200923622703,0.0,209.51089477539062,86.75838470458984
SPT,j10_m1,29,0.3333333333333333,0.0,419.3431091308594,90.93409729003906
SPT,j10_m1,30,0.3333333333333333,0.0,390.0731201171875,89.89530181884766
SPT,j10_m1,31,0.3333333333333333,0.0,457.78570556640625,92.00028228759766
SPT,j10_m1,32,0.25239079052180385,0.0,312.6597595214844,88.17560577392578
SPT,j10_m1,33,0.24137088697827883,0.0,288.4875183105469,87.79729461669922
SPT,j10_m1,34,0.3333333333333333,0.0,348.2157897949219,91.43985748291016
SPT,j10_m1,35,0.3333333333333333,0.0,358.508544921875,89.66853332519531
SPT,j10_m1,36,0.30691648355916706,0.0,338.0775451660156,90.08584594726562
SPT,j10_m1,37,0.2792969638194458,0.0,321.25439453125,88.92698669433594
SPT,j10_m1,38,0.3333333333333333,0.0,459.2327575683594,91.30170440673828
SPT,j10_m1,39,0.3333333333333333,0.0,411.16790771484375,90.62432098388672
SPT,j10_m1,40,0.3333333333333333,0.0,413.4136657714844,90.76347351074219
SPT,j10_m1,41,0.2762822801836616,0.0,290.35467529296875,90.46552276611328
SPT,j10_m1,42,0.3333333333333333,0.0,378.1949462890625,90.32107543945312
SPT,j10_m1,43,0.3333333333333333,0.0,412.1515197753906,90.60954284667969
SPT,j10_m1,44,0.3333333333333333,0.0,457.1660461425781,91.70262145996094
SPT,j10_m1,45,0.30104100872757067,0.0,284.6344299316406,89.72804260253906
SPT,j10_m1,46,0.3333333333333333,0.0,459.5636901855469,91.51631927490234
SPT,j10_m1,47,0.3016712853703485,0.0,368.5936279296875,90.00199127197266
SPT,j10_m1,48,0.3044154306236536,0.0,381.8941650390625,89.89398193359375
SPT,j10_m1,49,0.308817826655209,0.0,426.2734375,90.68190002441406
NN-Greedy,j10_m1,0,0.18131278508817897,0.0,224.90463256835938,85.6944808959961
NN-Greedy,j10_m1,1,0.2126292916197366,0.0,228.83370971679688,85.88057708740234
NN-Greedy,j10_m1,2,0.17578095487773837,0.0,224.79718017578125,85.7430191040039
NN-Greedy,j10_m1,3,0.11295593044845201,0.0,140.00128173828125,84.09561920166016
NN-Greedy,j10_m1,4,0.18168193257328397,0.0,180.37689208984375,85.75157928466797
NN-Greedy,j10_m1,5,0.19342952735694757,0.0,217.55934143066406,85.8677749633789
NN-Greedy,j10_m1,6,0.14811570738332228,0.0,163.1380157470703,84.54637145996094
NN-Greedy,j10_m1,7,0.1903370070862295,0.0,233.29978942871094,86.45808410644531
NN-Greedy,j10_m1,8,0.16451527374761732,0.0,178.0345001220703,85.31836700439453
NN-Greedy,j10_m1,9,0.19745374658650416,0.0,167.93865966796875,85.4899673461914
NN-Greedy,j10_m1,10,0.18383525580224683,0.0,199.27134704589844,85.66097259521484
NN-Greedy,j10_m1,11,0.1439399194190084,0.0,155.7889404296875,84.3401107788086
NN-Greedy,j10_m1,12,0.17476027593781301,0.0,220.26690673828125,85.61676788330078
NN-Greedy,j10_m1,13,0.14570630346353752,0.0,170.06446838378906,85.53713989257812
NN-Greedy,j10_m1,14,0.1566915055899147,0.0,206.65243530273438,85.68399047851562
NN-Greedy,j10_m1,15,0.24097340395582234,0.0,295.6960754394531,87.34943389892578
NN-Greedy,j10_m1,16,0.19557200241135309,0.0,246.4524688720703,86.17894744873047
NN-Greedy,j10_m1,17,0.1783907179953909,0.0,244.64418029785156,86.2185287475586
NN-Greedy,j10_m1,18,0.1872967473997293,0.0,217.92515563964844,86.1548843383789
NN-Greedy,j10_m1,19,0.18807870339319302,0.0,224.6408233642578,86.44373321533203
NN-Greedy,j10_m1,20,0.17708161455312885,0.0,221.46603393554688,85.497314453125
NN-Greedy,j10_m1,21,0.14693040893671994,0.0,202.73092651367188,85.55497741699219
NN-Greedy,j10_m1,22,0.1716645349901113,0.0,238.36160278320312,85.97748565673828
NN-Greedy,j10_m1,23,0.14150130974716024,0.0,175.15972900390625,85.02220916748047
NN-Greedy,j10_m1,24,0.16190057962248988,0.0,207.87010192871094,85.4726333618164
NN-Greedy,j10_m1,25,0.15092131635728098,0.0,173.77548217773438,84.81774139404297
NN-Greedy,j10_m1,26,0.22663171255104797,0.0,225.12071228027344,85.75409698486328
NN-Greedy,j10_m1,27,0.19690108663202302,0.0,248.4984130859375,86.08602905273438
NN-Greedy,j10_m1,28,0.07427023744317425,0.0,89.4935531616211,82.88687896728516
NN-Greedy,j10_m1,29,0.18397848730705754,0.0,231.45033264160156,86.034912109375
NN-Greedy,j10_m1,30,0.1986614917513149,0.0,232.47752380371094,85.89744567871094
NN-Greedy,j10_m1,31,0.14351368109703874,0.0,197.0955352783203,85.16661834716797
NN-Greedy,j10_m1,32,0.20488656285747614,0.0,253.8118896484375,86.6368179321289
NN-Greedy,j10_m1,33,0.1591045798825639,0.0,190.1624755859375,85.1397476196289
NN-Greedy,j10_m1,34,0.20578051973642025,0.0,214.96807861328125,87.06229400634766
NN-Greedy,j10_m1,35,0.18598200303131213,0.0,200.02841186523438,85.39452362060547
